Date,Region,Category,Product,Sales,Profit,Quantity
2023-01-01,North,Electronics,Laptop,1200,200,5
2023-01-02,South,Furniture,Chair,150,20,10
2023-01-03,East,Electronics,Smartphone,800,150,8
2023-01-04,West,Office Supplies,Paper,50,5,100
2023-01-05,North,Furniture,Desk,300,50,2
2023-01-06,South,Electronics,Tablet,400,80,6
2023-01-07,East,Office Supplies,Pen,20,10,200
2023-01-08,West,Furniture,Sofa,600,100,1
2023-01-09,North,Office Supplies,Binder,30,8,50
2023-01-10,South,Electronics,Monitor,250,40,4
2023-01-11,East,Furniture,Table,400,60,3
2023-01-12,West,Electronics,Laptop,1300,220,4
2023-01-13,North,Office Supplies,Stapler,15,5,30
2023-01-14,South,Furniture,Chair,160,25,8
2023-01-15,East,Electronics,Smartphone,850,160,7
